ID,importId,goal,config,moveIDs,goal_type,ID_folder
13160,47326,clear nocolor A2,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'blue', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'red', 'green', 'white', 'blue', 'white', 'red', 'red', 'red', 'blue', 'green', 'white', 'white', 'white', 'blue', 'blue', 'white', 'white', 'green', 'green', 'green', 'blue', 'red', 'blue', 'green', 'green', 'red', 'green', 'red', 'red', 'blue', 'green', 'blue', 'blue', 'green']","[(77, 61),(94, 78),(95, 60),(75, 56),(93, 73)]",clear,13160
13160,47326,clear nocolor C1,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'blue', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'red', 'green', 'white', 'blue', 'white', 'red', 'red', 'red', 'blue', 'green', 'white', 'white', 'white', 'blue', 'blue', 'white', 'white', 'green', 'green', 'green', 'blue', 'red', 'blue', 'green', 'green', 'red', 'green', 'red', 'red', 'blue', 'green', 'blue', 'blue', 'green']","[(102, 65),(103, 70),(104, 51)]",clear,13160
13160,47326,cover blue all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'blue', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'red', 'green', 'white', 'blue', 'white', 'red', 'red', 'red', 'blue', 'green', 'white', 'white', 'white', 'blue', 'blue', 'white', 'white', 'green', 'green', 'green', 'blue', 'red', 'blue', 'green', 'green', 'red', 'green', 'red', 'red', 'blue', 'green', 'blue', 'blue', 'green']","[(75, 76),(74, 59),(79, 78),(62, 46),(83, 70),(104, 85)]",cover,13160
13160,47326,cover green all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'blue', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'red', 'green', 'white', 'blue', 'white', 'red', 'red', 'red', 'blue', 'green', 'white', 'white', 'white', 'blue', 'blue', 'white', 'white', 'green', 'green', 'green', 'blue', 'red', 'blue', 'green', 'green', 'red', 'green', 'red', 'red', 'blue', 'green', 'blue', 'blue', 'green']","[(77, 57),(62, 73),(64, 65),(69, 86),(87, 89)]",cover,13160
13160,47326,fill nocolor A1,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'blue', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'red', 'green', 'white', 'blue', 'white', 'red', 'red', 'red', 'blue', 'green', 'white', 'white', 'white', 'blue', 'blue', 'white', 'white', 'green', 'green', 'green', 'blue', 'red', 'blue', 'green', 'green', 'red', 'green', 'red', 'red', 'blue', 'green', 'blue', 'blue', 'green']","[(77, 90),(94, 73),(95, 72),(96, 57),(79, 56),(62, 55),(80, 54),(97, 39),(39, 38),(57, 37),(75, 36),(93, 20),(64, 2),(81, 19),(82, 18),(83, 0),(103, 1)]",fill,13160
13160,47326,fill nocolor B1,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'blue', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'red', 'green', 'white', 'blue', 'white', 'red', 'red', 'red', 'blue', 'green', 'white', 'white', 'white', 'blue', 'blue', 'white', 'white', 'green', 'green', 'green', 'blue', 'red', 'blue', 'green', 'green', 'red', 'green', 'red', 'red', 'blue', 'green', 'blue', 'blue', 'green']","[(77, 78),(94, 60),(95, 42),(75, 24),(74, 6),(91, 61),(92, 43),(93, 25),(69, 7),(64, 44),(82, 26),(83, 8)]",fill,13160
13160,47326,move blue A2,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'blue', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'red', 'green', 'white', 'blue', 'white', 'red', 'red', 'red', 'blue', 'green', 'white', 'white', 'white', 'blue', 'blue', 'white', 'white', 'green', 'green', 'green', 'blue', 'red', 'blue', 'green', 'green', 'red', 'green', 'red', 'red', 'blue', 'green', 'blue', 'blue', 'green']","[(96, 76),(64, 59),(82, 58),(88, 57),(103, 40),(69, 86),(87, 41),(106, 23),(105, 22)]",move,13160
13160,47326,move red B1,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'blue', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'red', 'green', 'white', 'blue', 'white', 'red', 'red', 'red', 'blue', 'green', 'white', 'white', 'white', 'blue', 'blue', 'white', 'white', 'green', 'green', 'green', 'blue', 'red', 'blue', 'green', 'green', 'red', 'green', 'red', 'red', 'blue', 'green', 'blue', 'blue', 'green']","[(74, 78),(81, 60),(77, 76),(95, 61),(99, 44),(102, 43),(83, 46),(101, 42),(69, 26)]",move,13160
13160,47326,uncover blue all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'blue', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'red', 'green', 'white', 'blue', 'white', 'red', 'red', 'red', 'blue', 'green', 'white', 'white', 'white', 'blue', 'blue', 'white', 'white', 'green', 'green', 'green', 'blue', 'red', 'blue', 'green', 'green', 'red', 'green', 'red', 'red', 'blue', 'green', 'blue', 'blue', 'green']","[(64, 65),(69, 86),(87, 84),(88, 89)]",uncover,13160
13160,47326,uncover red all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'blue', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'red', 'green', 'white', 'blue', 'white', 'red', 'red', 'red', 'blue', 'green', 'white', 'white', 'white', 'blue', 'blue', 'white', 'white', 'green', 'green', 'green', 'blue', 'red', 'blue', 'green', 'green', 'red', 'green', 'red', 'red', 'blue', 'green', 'blue', 'blue', 'green']","[(77, 78),(62, 60),(81, 46),(83, 86)]",uncover,13160
13160,70176,clear nocolor A1,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'green', 'green', 'blue', 'red', 'red', 'white', 'white', 'white', 'blue', 'red', 'blue', 'white', 'blue', 'white', 'white', 'white', 'red', 'green', 'blue', 'red', 'blue', 'blue', 'red', 'green', 'white', 'white', 'green', 'red', 'green', 'blue', 'blue', 'blue', 'green', 'white', 'red', 'green']","[(72, 77),(73, 59),(74, 41),(92, 40),(91, 39),(90, 97)]",clear,13160
