ID,importId,goal,config,moveIDs,goal_type
635364,96815,clear nocolor A2,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'blue', 'red', 'white', 'white', 'blue', 'white', 'blue', 'red', 'white', 'white', 'green', 'green', 'green', 'blue', 'white', 'white', 'blue', 'red', 'blue', 'blue', 'blue', 'green', 'green', 'green', 'red', 'green', 'red', 'white', 'green', 'blue', 'red', 'blue', 'green', 'red']","[(94, 79),(57, 82),(75, 101),(93, 83),(95, 60)]",clear nocolor A2
635364,96815,clear nocolor B,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'blue', 'red', 'white', 'white', 'blue', 'white', 'blue', 'red', 'white', 'white', 'green', 'green', 'green', 'blue', 'white', 'white', 'blue', 'red', 'blue', 'blue', 'blue', 'green', 'green', 'green', 'red', 'green', 'red', 'white', 'green', 'blue', 'red', 'blue', 'green', 'red']","[(97, 101),(78, 77),(96, 76),(100, 68),(101, 88),(81, 59),(80, 69),(99, 66),(98, 49)]",clear nocolor B
635364,96815,cover blue all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'blue', 'red', 'white', 'white', 'blue', 'white', 'blue', 'red', 'white', 'white', 'green', 'green', 'green', 'blue', 'white', 'white', 'blue', 'red', 'blue', 'blue', 'blue', 'green', 'green', 'green', 'red', 'green', 'red', 'white', 'green', 'blue', 'red', 'blue', 'green', 'red']","[(78, 72),(97, 38),(80, 55),(98, 54),(81, 37),(87, 76),(106, 77),(105, 58),(107, 59),(67, 40)]",cover blue all
635364,96815,cover red all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'blue', 'red', 'white', 'white', 'blue', 'white', 'blue', 'red', 'white', 'white', 'green', 'green', 'green', 'blue', 'white', 'white', 'blue', 'red', 'blue', 'blue', 'blue', 'green', 'green', 'green', 'red', 'green', 'red', 'white', 'green', 'blue', 'red', 'blue', 'green', 'red']","[(67, 101),(80, 82),(98, 83),(78, 65),(65, 63),(57, 98),(75, 80),(93, 62),(73, 79),(91, 78),(90, 60),(94, 61),(87, 89),(56, 65)]",cover red all
635364,96815,fill nocolor A2,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'blue', 'red', 'white', 'white', 'blue', 'white', 'blue', 'red', 'white', 'white', 'green', 'green', 'green', 'blue', 'white', 'white', 'blue', 'red', 'blue', 'blue', 'blue', 'green', 'green', 'green', 'red', 'green', 'red', 'white', 'green', 'blue', 'red', 'blue', 'green', 'red']","[(56, 76),(74, 77),(78, 59),(73, 58),(91, 39),(90, 40),(80, 41),(96, 23),(97, 22),(81, 21),(98, 4),(99, 5),(100, 3)]",fill nocolor A2
635364,96815,fill nocolor C2,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'blue', 'red', 'white', 'white', 'blue', 'white', 'blue', 'red', 'white', 'white', 'green', 'green', 'green', 'blue', 'white', 'white', 'blue', 'red', 'blue', 'blue', 'blue', 'green', 'green', 'green', 'red', 'green', 'red', 'white', 'green', 'blue', 'red', 'blue', 'green', 'red']","[(81, 88),(78, 89),(67, 69),(86, 70),(85, 71),(104, 51),(84, 52),(103, 53),(102, 33),(80, 34),(100, 35),(99, 15),(98, 16),(97, 17)]",fill nocolor C2
635364,96815,move green B2,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'blue', 'red', 'white', 'white', 'blue', 'white', 'blue', 'red', 'white', 'white', 'green', 'green', 'green', 'blue', 'white', 'white', 'blue', 'red', 'blue', 'blue', 'blue', 'green', 'green', 'green', 'red', 'green', 'red', 'white', 'green', 'blue', 'red', 'blue', 'green', 'red']","[(67, 101),(106, 83),(85, 82),(86, 65),(84, 63),(102, 64),(97, 45),(95, 47),(56, 46),(103, 29),(87, 28),(104, 27),(78, 97),(96, 9)]",move green B2
635364,96815,move red C,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'blue', 'red', 'white', 'white', 'blue', 'white', 'blue', 'red', 'white', 'white', 'green', 'green', 'green', 'blue', 'white', 'white', 'blue', 'red', 'blue', 'blue', 'blue', 'green', 'green', 'green', 'red', 'green', 'red', 'white', 'green', 'blue', 'red', 'blue', 'green', 'red']","[(100, 66),(81, 69),(80, 68),(98, 88),(57, 89),(75, 71),(73, 70),(91, 48)]",move red C
635364,96815,uncover green all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'blue', 'red', 'white', 'white', 'blue', 'white', 'blue', 'red', 'white', 'white', 'green', 'green', 'green', 'blue', 'white', 'white', 'blue', 'red', 'blue', 'blue', 'blue', 'green', 'green', 'green', 'red', 'green', 'red', 'white', 'green', 'blue', 'red', 'blue', 'green', 'red']","[(78, 101),(67, 89),(84, 83),(102, 71),(56, 55),(81, 102)]",uncover green all
635364,96815,uncover red all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'blue', 'red', 'white', 'white', 'blue', 'white', 'blue', 'red', 'white', 'white', 'green', 'green', 'green', 'blue', 'white', 'white', 'blue', 'red', 'blue', 'blue', 'blue', 'green', 'green', 'green', 'red', 'green', 'red', 'white', 'green', 'blue', 'red', 'blue', 'green', 'red']","[(57, 79),(73, 76),(91, 69),(84, 101),(101, 62),(100, 68),(106, 100),(107, 82),(68, 101),(82, 106),(81, 107),(79, 77),(62, 79),(75, 91),(101, 82),(56, 101),(106, 81),(69, 106),(101, 75),(82, 101),(67, 84),(86, 67),(80, 82)]",uncover red all
