ID,importId,goal,config,moveIDs,goal_type,ID_folder
BryceBollman,51325,clear nocolor A,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'red', 'blue', 'blue', 'green', 'white', 'white', 'green', 'white', 'green', 'white', 'white', 'green', 'white', 'red', 'white', 'green', 'white', 'red', 'red', 'red', 'red', 'blue', 'white', 'red', 'green', 'blue', 'red', 'blue', 'red', 'green', 'blue', 'blue', 'green', 'blue', 'green', 'red']","[(75, 42),(93, 79),(74, 61),(92, 43),(55, 25),(73, 24),(72, 6),(90, 7),(91, 62),(95, 44)]",clear,BryceBollman
BryceBollman,51325,clear nocolor A1,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'red', 'blue', 'blue', 'green', 'white', 'white', 'green', 'white', 'green', 'white', 'white', 'green', 'white', 'red', 'white', 'green', 'white', 'red', 'red', 'red', 'red', 'blue', 'white', 'red', 'green', 'blue', 'red', 'blue', 'red', 'green', 'blue', 'blue', 'green', 'blue', 'green', 'red']","[(74, 57),(92, 39),(55, 21),(73, 3),(72, 94),(90, 76),(91, 58)]",clear,BryceBollman
BryceBollman,51325,cover green all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'red', 'blue', 'blue', 'green', 'white', 'white', 'green', 'white', 'green', 'white', 'white', 'green', 'white', 'red', 'white', 'green', 'white', 'red', 'red', 'red', 'red', 'blue', 'white', 'red', 'green', 'blue', 'red', 'blue', 'red', 'green', 'blue', 'blue', 'green', 'blue', 'green', 'red']","[(60, 79),(78, 77),(83, 82),(72, 37),(74, 57),(92, 59),(79, 78),(97, 62),(99, 64),(67, 83),(85, 86),(102, 69),(103, 88)]",cover,BryceBollman
BryceBollman,51325,cover red all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'red', 'blue', 'blue', 'green', 'white', 'white', 'green', 'white', 'green', 'white', 'white', 'green', 'white', 'red', 'white', 'green', 'white', 'red', 'red', 'red', 'red', 'blue', 'white', 'red', 'green', 'blue', 'red', 'blue', 'red', 'green', 'blue', 'blue', 'green', 'blue', 'green', 'red']","[(55, 54),(83, 82),(87, 71),(75, 77)]",cover,BryceBollman
BryceBollman,51325,fill nocolor B2,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'red', 'blue', 'blue', 'green', 'white', 'white', 'green', 'white', 'green', 'white', 'white', 'green', 'white', 'red', 'white', 'green', 'white', 'red', 'red', 'red', 'red', 'blue', 'white', 'red', 'green', 'blue', 'red', 'blue', 'red', 'green', 'blue', 'blue', 'green', 'blue', 'green', 'red']","[(95, 81),(75, 82),(55, 64),(73, 46),(91, 28),(93, 63),(102, 65),(67, 47),(85, 29),(103, 45),(104, 27),(106, 10),(87, 11),(105, 9)]",fill,BryceBollman
BryceBollman,51325,fill nocolor C2,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'red', 'blue', 'blue', 'green', 'white', 'white', 'green', 'white', 'green', 'white', 'white', 'green', 'white', 'red', 'white', 'green', 'white', 'red', 'red', 'red', 'red', 'blue', 'white', 'red', 'green', 'blue', 'red', 'blue', 'red', 'green', 'blue', 'blue', 'green', 'blue', 'green', 'red']","[(67, 88),(85, 69),(104, 70),(103, 71),(102, 53),(83, 52),(101, 51),(100, 33),(99, 34),(80, 35),(98, 15),(97, 16),(60, 17)]",fill,BryceBollman
BryceBollman,51325,move green C2,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'red', 'blue', 'blue', 'green', 'white', 'white', 'green', 'white', 'green', 'white', 'white', 'green', 'white', 'red', 'white', 'green', 'white', 'red', 'red', 'red', 'red', 'blue', 'white', 'red', 'green', 'blue', 'red', 'blue', 'red', 'green', 'blue', 'blue', 'green', 'blue', 'green', 'red']","[(104, 88),(83, 69),(101, 70),(80, 71),(60, 79),(78, 51),(96, 52),(75, 53),(55, 33)]",move,BryceBollman
BryceBollman,51325,move red B,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'red', 'blue', 'blue', 'green', 'white', 'white', 'green', 'white', 'green', 'white', 'white', 'green', 'white', 'red', 'white', 'green', 'white', 'red', 'red', 'red', 'red', 'blue', 'white', 'red', 'green', 'blue', 'red', 'blue', 'red', 'green', 'blue', 'blue', 'green', 'blue', 'green', 'red']","[(74, 37),(92, 79),(37, 92),(55, 74),(73, 56),(91, 61),(72, 43),(90, 25),(100, 62),(67, 84),(85, 44),(89, 26),(107, 8),(95, 42)]",move,BryceBollman
BryceBollman,51325,uncover blue all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'red', 'blue', 'blue', 'green', 'white', 'white', 'green', 'white', 'green', 'white', 'white', 'green', 'white', 'red', 'white', 'green', 'white', 'red', 'red', 'red', 'red', 'blue', 'white', 'red', 'green', 'blue', 'red', 'blue', 'red', 'green', 'blue', 'blue', 'green', 'blue', 'green', 'red']","[(55, 54),(75, 94),(67, 86),(85, 82),(87, 88)]",uncover,BryceBollman
BryceBollman,51325,uncover green all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'red', 'blue', 'blue', 'green', 'white', 'white', 'green', 'white', 'green', 'white', 'white', 'green', 'white', 'red', 'white', 'green', 'white', 'red', 'red', 'red', 'red', 'blue', 'white', 'red', 'green', 'blue', 'red', 'blue', 'red', 'green', 'blue', 'blue', 'green', 'blue', 'green', 'red']","[(60, 79),(83, 82),(78, 81)]",uncover,BryceBollman
