ID,importId,goal,config,moveIDs,goal_type
Cole Stewart,66473,clear nocolor A1,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'blue', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'red', 'blue', 'white', 'red', 'white', 'blue', 'red', 'red', 'green', 'white', 'green', 'red', 'blue', 'green', 'green', 'green', 'red', 'blue', 'red', 'red', 'green', 'blue', 'blue', 'red', 'red', 'green', 'blue', 'blue', 'green', 'green']","[(92, 75),(73, 76),(91, 77),(90, 57)]",clear nocolor A1
Cole Stewart,66473,clear nocolor C,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'blue', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'red', 'blue', 'white', 'red', 'white', 'blue', 'red', 'red', 'green', 'white', 'green', 'red', 'blue', 'green', 'green', 'green', 'red', 'blue', 'red', 'red', 'green', 'blue', 'blue', 'red', 'red', 'green', 'blue', 'blue', 'green', 'green']","[(66, 63),(84, 82),(102, 64),(85, 65),(103, 47),(68, 46),(86, 45),(104, 29),(88, 28),(105, 27),(106, 11),(89, 10),(107, 9)]",clear nocolor C
Cole Stewart,66473,cover blue all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'blue', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'red', 'blue', 'white', 'red', 'white', 'blue', 'red', 'red', 'green', 'white', 'green', 'red', 'blue', 'green', 'green', 'green', 'red', 'blue', 'red', 'red', 'green', 'blue', 'blue', 'red', 'red', 'green', 'blue', 'blue', 'green', 'green']","[(73, 72),(78, 77),(96, 61),(98, 82),(85, 65),(103, 48),(88, 50),(89, 87)]",cover blue all
Cole Stewart,66473,cover red all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'blue', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'red', 'blue', 'white', 'red', 'white', 'blue', 'red', 'red', 'green', 'white', 'green', 'red', 'blue', 'green', 'green', 'green', 'red', 'blue', 'red', 'red', 'green', 'blue', 'blue', 'red', 'red', 'green', 'blue', 'blue', 'green', 'green']","[(95, 60),(93, 76),(98, 63),(68, 67),(88, 71)]",cover red all
Cole Stewart,66473,fill nocolor B2,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'blue', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'red', 'blue', 'white', 'red', 'white', 'blue', 'red', 'red', 'green', 'white', 'green', 'red', 'blue', 'green', 'green', 'green', 'red', 'blue', 'red', 'red', 'green', 'blue', 'blue', 'red', 'red', 'green', 'blue', 'blue', 'green', 'green']","[(66, 82),(84, 65),(85, 47),(102, 29),(103, 11),(68, 64),(79, 46),(97, 28),(98, 63),(78, 45),(96, 27),(95, 10),(94, 9)]",fill nocolor B2
Cole Stewart,66473,fill nocolor C1,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'blue', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'red', 'blue', 'white', 'red', 'white', 'blue', 'red', 'red', 'green', 'white', 'green', 'red', 'blue', 'green', 'green', 'green', 'red', 'blue', 'red', 'red', 'green', 'blue', 'blue', 'red', 'red', 'green', 'blue', 'blue', 'green', 'green']","[(83, 67),(101, 48),(100, 30),(81, 12),(99, 49),(98, 31),(88, 50),(105, 32),(106, 13),(89, 14)]",fill nocolor C1
Cole Stewart,66473,move blue A,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'blue', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'red', 'blue', 'white', 'red', 'white', 'blue', 'red', 'red', 'green', 'white', 'green', 'red', 'blue', 'green', 'green', 'green', 'red', 'blue', 'red', 'red', 'green', 'blue', 'blue', 'red', 'red', 'green', 'blue', 'blue', 'green', 'green']","[(79, 75),(100, 57),(66, 39),(83, 21),(81, 80),(99, 3),(68, 76),(105, 77),(86, 67),(104, 58)]",move blue A
Cole Stewart,66473,move blue B,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'blue', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'red', 'blue', 'white', 'red', 'white', 'blue', 'red', 'red', 'green', 'white', 'green', 'red', 'blue', 'green', 'green', 'green', 'red', 'blue', 'red', 'red', 'green', 'blue', 'blue', 'red', 'red', 'green', 'blue', 'blue', 'green', 'green']","[(68, 82),(66, 65),(105, 64),(86, 70),(104, 63),(95, 61),(90, 43)]",move blue B
Cole Stewart,66473,uncover green all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'blue', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'red', 'blue', 'white', 'red', 'white', 'blue', 'red', 'red', 'green', 'white', 'green', 'red', 'blue', 'green', 'green', 'green', 'red', 'blue', 'red', 'red', 'green', 'blue', 'blue', 'red', 'red', 'green', 'blue', 'blue', 'green', 'green']","[(73, 72),(85, 65),(68, 48),(88, 87),(89, 30)]",uncover green all
Cole Stewart,66473,uncover red all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'blue', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'red', 'blue', 'white', 'red', 'white', 'blue', 'red', 'red', 'green', 'white', 'green', 'red', 'blue', 'green', 'green', 'green', 'red', 'blue', 'red', 'red', 'green', 'blue', 'blue', 'red', 'red', 'green', 'blue', 'blue', 'green', 'green']","[(79, 80),(83, 82),(66, 50),(78, 77),(84, 64)]",uncover red all
