ID,importId,goal,config,moveIDs,goal_type,ID_folder
Fiona Gallagher,37196,clear nocolor A,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'blue', 'blue', 'blue', 'green', 'blue', 'white', 'green', 'blue', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'blue', 'blue', 'red', 'red', 'red', 'red', 'blue', 'green', 'green', 'green', 'green', 'blue', 'white', 'red', 'green', 'red']","[(77, 80),(54, 60),(55, 42),(73, 24),(72, 6),(90, 61),(91, 43),(92, 62),(75, 25),(76, 7),(93, 44),(94, 26),(95, 8)]",clear,Fiona_Gallagher
Fiona Gallagher,37196,clear nocolor A1,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'blue', 'blue', 'blue', 'green', 'blue', 'white', 'green', 'blue', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'blue', 'blue', 'red', 'red', 'red', 'red', 'blue', 'green', 'green', 'green', 'green', 'blue', 'white', 'red', 'green', 'red']","[(92, 57),(55, 39),(73, 21),(91, 3),(54, 58),(72, 59),(90, 40)]",clear,Fiona_Gallagher
Fiona Gallagher,37196,cover blue all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'blue', 'blue', 'blue', 'green', 'blue', 'white', 'green', 'blue', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'blue', 'blue', 'red', 'red', 'red', 'red', 'blue', 'green', 'green', 'green', 'green', 'blue', 'white', 'red', 'green', 'red']","[(55, 74),(78, 57),(96, 58),(81, 59),(79, 96),(97, 78),(99, 80),(82, 99),(100, 81),(66, 85)]",cover,Fiona_Gallagher
Fiona Gallagher,37196,cover green all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'blue', 'blue', 'blue', 'green', 'blue', 'white', 'green', 'blue', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'blue', 'blue', 'red', 'red', 'red', 'red', 'blue', 'green', 'green', 'green', 'green', 'blue', 'white', 'red', 'green', 'red']","[(75, 36),(76, 60),(98, 63),(103, 83),(66, 103),(105, 85),(107, 88)]",cover,Fiona_Gallagher
Fiona Gallagher,37196,fill nocolor A2,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'blue', 'blue', 'blue', 'green', 'blue', 'white', 'green', 'blue', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'blue', 'blue', 'red', 'red', 'red', 'red', 'blue', 'green', 'green', 'green', 'green', 'blue', 'white', 'red', 'green', 'red']","[(55, 57),(73, 39),(54, 21),(72, 3),(90, 58),(91, 40),(92, 22),(78, 4),(96, 59),(79, 41),(97, 23),(98, 5)]",fill,Fiona_Gallagher
Fiona Gallagher,37196,fill nocolor C2,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'blue', 'blue', 'blue', 'green', 'blue', 'white', 'green', 'blue', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'blue', 'blue', 'red', 'red', 'red', 'red', 'blue', 'green', 'green', 'green', 'green', 'blue', 'white', 'red', 'green', 'red']","[(66, 89),(103, 88),(84, 87),(102, 69),(101, 70),(82, 71),(81, 51),(100, 52),(99, 53),(98, 33),(79, 34),(97, 35),(78, 15),(96, 16),(77, 17)]",fill,Fiona_Gallagher
Fiona Gallagher,37196,move blue C1,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'blue', 'blue', 'blue', 'green', 'blue', 'white', 'green', 'blue', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'blue', 'blue', 'red', 'red', 'red', 'red', 'blue', 'green', 'green', 'green', 'green', 'blue', 'white', 'red', 'green', 'red']","[(75, 87),(93, 69),(103, 51),(98, 33),(82, 15),(79, 88),(77, 70),(76, 52),(92, 34),(54, 37),(72, 16),(15, 103),(16, 104),(33, 85),(51, 86),(34, 67),(69, 68),(52, 48),(70, 49),(87, 50),(88, 30)]",move,Fiona_Gallagher
Fiona Gallagher,37196,move green A1,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'blue', 'blue', 'blue', 'green', 'blue', 'white', 'green', 'blue', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'blue', 'blue', 'red', 'red', 'red', 'red', 'blue', 'green', 'green', 'green', 'green', 'blue', 'white', 'red', 'green', 'red']","[(78, 74),(81, 56),(99, 36),(82, 99),(100, 37),(101, 38),(66, 18),(84, 101),(102, 19),(106, 20)]",move,Fiona_Gallagher
Fiona Gallagher,37196,uncover green all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'blue', 'blue', 'blue', 'green', 'blue', 'white', 'green', 'blue', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'blue', 'blue', 'red', 'red', 'red', 'red', 'blue', 'green', 'green', 'green', 'green', 'blue', 'white', 'red', 'green', 'red']","[(55, 74),(81, 80),(82, 61),(66, 104),(84, 85)]",uncover,Fiona_Gallagher
Fiona Gallagher,37196,uncover red all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'blue', 'blue', 'blue', 'green', 'blue', 'white', 'green', 'blue', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'blue', 'blue', 'red', 'red', 'red', 'red', 'blue', 'green', 'green', 'green', 'green', 'blue', 'white', 'red', 'green', 'red']","[(55, 57),(76, 74),(77, 56),(73, 38),(54, 20),(72, 2),(78, 80),(79, 62),(66, 83)]",uncover,Fiona_Gallagher
