ID,importId,goal,config,moveIDs,goal_type
hcastro2,14189,clear nocolor A2,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'green', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'white', 'green', 'white', 'green', 'white', 'red', 'green', 'blue', 'green', 'white', 'green', 'green', 'red', 'red', 'green', 'red', 'red', 'blue', 'red', 'red', 'blue', 'blue', 'blue', 'red', 'blue', 'blue', 'blue', 'red', 'blue', 'green']","[(75, 74),(93, 56),(76, 38),(94, 73),(95, 55)]",clear nocolor A2
hcastro2,14189,clear nocolor C,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'green', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'white', 'green', 'white', 'green', 'white', 'red', 'green', 'blue', 'green', 'white', 'green', 'green', 'red', 'red', 'green', 'red', 'red', 'blue', 'red', 'red', 'blue', 'blue', 'blue', 'red', 'blue', 'blue', 'blue', 'red', 'blue', 'green']","[(84, 65),(102, 82),(67, 47),(85, 64),(103, 63),(68, 29),(86, 46),(104, 45),(105, 28),(88, 27),(106, 11),(89, 10),(107, 9)]",clear nocolor C
hcastro2,14189,cover green all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'green', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'white', 'green', 'white', 'green', 'white', 'red', 'green', 'blue', 'green', 'white', 'green', 'green', 'red', 'red', 'green', 'red', 'red', 'blue', 'red', 'red', 'blue', 'blue', 'blue', 'red', 'blue', 'blue', 'blue', 'red', 'blue', 'green']","[(88, 87),(106, 71),(87, 106),(105, 88),(67, 50),(85, 66),(100, 63),(96, 61),(95, 58),(91, 74)]",cover green all
hcastro2,14189,cover red all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'green', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'white', 'green', 'white', 'green', 'white', 'red', 'green', 'blue', 'green', 'white', 'green', 'green', 'red', 'red', 'green', 'red', 'red', 'blue', 'red', 'red', 'blue', 'blue', 'blue', 'red', 'blue', 'blue', 'blue', 'red', 'blue', 'green']","[(91, 72),(92, 54),(98, 78),(81, 65),(84, 49),(88, 87)]",cover red all
hcastro2,14189,fill nocolor A2,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'green', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'white', 'green', 'white', 'green', 'white', 'red', 'green', 'blue', 'green', 'white', 'green', 'green', 'red', 'red', 'green', 'red', 'red', 'blue', 'red', 'red', 'blue', 'blue', 'blue', 'red', 'blue', 'blue', 'blue', 'red', 'blue', 'green']","[(92, 77),(91, 59),(90, 58),(79, 57),(96, 41),(97, 39),(98, 40),(81, 23),(99, 22),(100, 21),(83, 5),(101, 4),(67, 3)]",fill nocolor A2
hcastro2,14189,fill nocolor C2,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'green', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'white', 'green', 'white', 'green', 'white', 'red', 'green', 'blue', 'green', 'white', 'green', 'green', 'red', 'red', 'green', 'red', 'red', 'blue', 'red', 'red', 'blue', 'blue', 'blue', 'red', 'blue', 'blue', 'blue', 'red', 'blue', 'green']","[(68, 87),(86, 71),(104, 70),(67, 69),(85, 53),(103, 52),(84, 51),(102, 33),(83, 34),(101, 35),(100, 17),(81, 16),(99, 15)]",fill nocolor C2
hcastro2,14189,move green A1,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'green', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'white', 'green', 'white', 'green', 'white', 'red', 'green', 'blue', 'green', 'white', 'green', 'green', 'red', 'red', 'green', 'red', 'red', 'blue', 'red', 'red', 'blue', 'blue', 'blue', 'red', 'blue', 'blue', 'blue', 'red', 'blue', 'green']","[(91, 77),(90, 59),(76, 91),(79, 90),(81, 72),(84, 73),(68, 74),(86, 54),(88, 55),(89, 56),(107, 36)]",move green A1
hcastro2,14189,move red A,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'green', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'white', 'green', 'white', 'green', 'white', 'red', 'green', 'blue', 'green', 'white', 'green', 'green', 'red', 'red', 'green', 'red', 'red', 'blue', 'red', 'red', 'blue', 'blue', 'blue', 'red', 'blue', 'blue', 'blue', 'red', 'blue', 'green']","[(75, 74),(76, 56),(93, 72),(94, 73),(56, 94),(74, 93),(92, 75),(96, 92),(79, 96),(97, 74),(83, 54),(101, 55),(67, 56),(105, 57)]",move red A
hcastro2,14189,uncover blue all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'green', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'white', 'green', 'white', 'green', 'white', 'red', 'green', 'blue', 'green', 'white', 'green', 'green', 'red', 'red', 'green', 'red', 'red', 'blue', 'red', 'red', 'blue', 'blue', 'blue', 'red', 'blue', 'blue', 'blue', 'red', 'blue', 'green']","[(81, 65),(67, 71),(88, 53),(68, 66),(86, 48),(85, 86),(103, 87),(86, 61),(48, 47),(66, 29),(84, 11)]",uncover blue all
hcastro2,14189,uncover red all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'green', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'white', 'green', 'white', 'green', 'white', 'red', 'green', 'blue', 'green', 'white', 'green', 'green', 'red', 'red', 'green', 'red', 'red', 'blue', 'red', 'red', 'blue', 'blue', 'blue', 'red', 'blue', 'blue', 'blue', 'red', 'blue', 'green']","[(75, 77),(76, 59),(79, 80),(100, 63),(83, 100)]",uncover red all
