ID,importId,goal,config,moveIDs,goal_type
mmustapha,19737,clear nocolor A,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'green', 'blue', 'white', 'red', 'blue', 'white', 'white', 'red', 'white', 'blue', 'white', 'green', 'white', 'red', 'white', 'white', 'red', 'green', 'red', 'blue', 'blue', 'blue', 'green', 'blue', 'green', 'blue', 'blue', 'green', 'red', 'green', 'green', 'red', 'white', 'blue']","[(60, 79),(59, 80),(77, 62),(95, 61),(94, 60),(75, 44),(93, 43),(74, 42),(55, 26),(92, 25),(73, 24),(91, 8),(72, 7),(90, 6)]",clear nocolor A
mmustapha,19737,clear nocolor A1,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'green', 'blue', 'white', 'red', 'blue', 'white', 'white', 'red', 'white', 'blue', 'white', 'green', 'white', 'red', 'white', 'white', 'red', 'green', 'red', 'blue', 'blue', 'blue', 'green', 'blue', 'green', 'blue', 'blue', 'green', 'red', 'green', 'green', 'red', 'white', 'blue']","[(75, 76),(74, 75),(92, 41),(55, 58),(73, 40),(91, 57),(72, 39),(90, 23)]",clear nocolor A1
mmustapha,19737,cover blue all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'green', 'blue', 'white', 'red', 'blue', 'white', 'white', 'red', 'white', 'blue', 'white', 'green', 'white', 'red', 'white', 'white', 'red', 'green', 'red', 'blue', 'blue', 'blue', 'green', 'blue', 'green', 'blue', 'blue', 'green', 'red', 'green', 'green', 'red', 'white', 'blue']","[(59, 57),(60, 76),(81, 60),(85, 79),(102, 81),(103, 82),(104, 65),(87, 89)]",cover blue all
mmustapha,19737,cover green all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'green', 'blue', 'white', 'red', 'blue', 'white', 'white', 'red', 'white', 'blue', 'white', 'green', 'white', 'red', 'white', 'white', 'red', 'green', 'red', 'blue', 'blue', 'blue', 'green', 'blue', 'green', 'blue', 'blue', 'green', 'red', 'green', 'green', 'red', 'white', 'blue']","[(75, 37),(60, 41),(93, 56),(81, 80),(87, 67),(105, 86)]",cover green all
mmustapha,19737,fill nocolor B1,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'green', 'blue', 'white', 'red', 'blue', 'white', 'white', 'red', 'white', 'blue', 'white', 'green', 'white', 'red', 'white', 'white', 'red', 'green', 'red', 'blue', 'blue', 'blue', 'green', 'blue', 'green', 'blue', 'blue', 'green', 'red', 'green', 'green', 'red', 'white', 'blue']","[(81, 79),(99, 80),(100, 61),(83, 62),(101, 44),(102, 43),(85, 42),(103, 24),(59, 25),(77, 26),(95, 8),(94, 7),(75, 6)]",fill nocolor B1
mmustapha,19737,fill nocolor C2,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'green', 'blue', 'white', 'red', 'blue', 'white', 'white', 'red', 'white', 'blue', 'white', 'green', 'white', 'red', 'white', 'white', 'red', 'green', 'red', 'blue', 'blue', 'blue', 'green', 'blue', 'green', 'blue', 'blue', 'green', 'red', 'green', 'green', 'red', 'white', 'blue']","[(85, 106),(87, 89),(104, 88),(103, 87),(102, 71),(83, 70),(101, 69),(100, 53),(81, 52),(99, 51),(98, 35),(97, 34),(60, 33),(78, 17),(96, 16),(59, 15)]",fill nocolor C2
mmustapha,19737,move green C1,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'green', 'blue', 'white', 'red', 'blue', 'white', 'white', 'red', 'white', 'blue', 'white', 'green', 'white', 'red', 'white', 'white', 'red', 'green', 'red', 'blue', 'blue', 'blue', 'green', 'blue', 'green', 'blue', 'blue', 'green', 'red', 'green', 'green', 'red', 'white', 'blue']","[(83, 82),(101, 84),(59, 66),(98, 67),(55, 86),(74, 68),(60, 76),(78, 98),(96, 50),(73, 74),(91, 49)]",move green C1
mmustapha,19737,move red B1,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'green', 'blue', 'white', 'red', 'blue', 'white', 'white', 'red', 'white', 'blue', 'white', 'green', 'white', 'red', 'white', 'white', 'red', 'green', 'red', 'blue', 'blue', 'blue', 'green', 'blue', 'green', 'blue', 'blue', 'green', 'red', 'green', 'green', 'red', 'white', 'blue']","[(60, 79),(59, 80),(77, 62),(75, 61),(95, 60),(94, 44),(93, 43),(74, 42),(92, 26),(55, 25),(73, 24),(91, 8),(72, 7),(90, 6),(102, 63),(87, 45),(105, 27),(8, 86),(83, 82),(101, 102),(82, 84),(100, 68),(27, 101),(45, 100),(63, 83),(81, 82),(99, 67),(26, 65),(44, 66),(7, 64),(62, 47),(80, 48),(98, 49),(6, 99),(24, 81),(25, 30),(43, 31),(42, 50),(61, 32),(79, 63),(97, 14),(60, 13),(78, 12),(96, 95),(63, 96),(81, 97),(99, 98),(64, 78),(82, 79),(100, 80),(47, 60),(65, 61),(83, 62),(101, 42)]",move red B1
mmustapha,19737,uncover green all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'green', 'blue', 'white', 'red', 'blue', 'white', 'white', 'red', 'white', 'blue', 'white', 'green', 'white', 'red', 'white', 'white', 'red', 'green', 'red', 'blue', 'blue', 'blue', 'green', 'blue', 'green', 'blue', 'blue', 'green', 'red', 'green', 'green', 'red', 'white', 'blue']","[(55, 56),(73, 54),(91, 38),(83, 82),(60, 79),(78, 61),(38, 78),(59, 60),(56, 42),(74, 24),(77, 76),(61, 91),(79, 73),(97, 74),(98, 97),(101, 79),(85, 61),(103, 43),(104, 25),(25, 6),(95, 55),(43, 98),(61, 80),(79, 62),(97, 44),(6, 26),(24, 8),(81, 64),(99, 46),(76, 36),(55, 18),(74, 55),(75, 37),(92, 19),(93, 0),(94, 1),(102, 101),(87, 28),(105, 10),(107, 83),(42, 65),(60, 47),(78, 29),(96, 11),(11, 102),(29, 97),(102, 79),(47, 61),(65, 43),(8, 25),(1, 92),(0, 74),(18, 56),(19, 18),(37, 38),(55, 20),(73, 0),(91, 2),(10, 7),(28, 8),(46, 99),(8, 46),(7, 28),(26, 7),(7, 96),(25, 95),(43, 94),(61, 93),(44, 102),(62, 103),(80, 104),(79, 105)]",uncover green all
mmustapha,19737,uncover red all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'green', 'blue', 'white', 'red', 'blue', 'white', 'white', 'red', 'white', 'blue', 'white', 'green', 'white', 'red', 'white', 'white', 'red', 'green', 'red', 'blue', 'blue', 'blue', 'green', 'blue', 'green', 'blue', 'blue', 'green', 'red', 'green', 'green', 'red', 'white', 'blue']","[(55, 56),(56, 76),(74, 57),(59, 58),(73, 74),(72, 56),(90, 38),(77, 39),(60, 20),(81, 21),(102, 2),(87, 3),(105, 40),(2, 90),(40, 77),(3, 40),(21, 60),(20, 79),(40, 80),(39, 81),(38, 82),(56, 65),(74, 102)]",uncover red all
